,size,H,name,slope,intercept,r_value
28,14500,0.8,0.80_1,-0.19306537780576005,66.11042430652232,-0.15517408101039074
29,15000,0.8,0.80_1,-0.14467347471045222,69.06556993719843,-0.12337323082057983
30,15500,0.8,0.80_1,-0.09617763321210587,72.15370096242292,-0.08717626034966176
31,16000,0.8,0.80_1,-0.17100129004221842,68.93425587608283,-0.14989294876542342
32,16500,0.8,0.80_1,-0.1480515024463284,70.6295874085275,-0.13063749657709273
33,17000,0.8,0.80_1,-0.119950461866484,72.6453329234873,-0.10794164234695727
34,17500,0.8,0.80_1,-0.10782370747588448,73.55865329458544,-0.10048220012240071
35,18000,0.8,0.80_1,-0.10641156324126565,74.84600481121925,-0.09696133060978623
36,18500,0.8,0.80_1,-0.18557992184747232,76.71220632183864,-0.13557627732607275
37,19000,0.8,0.80_1,-0.29843071154987894,82.27413997731341,-0.16197528265241498
38,19500,0.8,0.80_1,-0.45613505672398824,105.19978912823906,-0.16611742357972462
39,20000,0.8,0.80_1,-0.4525725306699329,110.21088115514905,-0.15810334228711603
40,20500,0.8,0.80_1,-0.45348183011206505,109.45450057570763,-0.15583572125385817
41,21000,0.8,0.80_1,-0.4566235612714252,105.44967564712391,-0.1565290881420054
42,21500,0.8,0.80_1,-0.4507160153034385,104.11204697187951,-0.15439290910773254
43,22000,0.8,0.80_1,-0.4422852704628328,102.27300169769916,-0.15132992778074478
44,22500,0.8,0.80_1,-0.4362480255123942,101.28205328128709,-0.14905223715964067
45,23000,0.8,0.80_1,-0.4346825850696926,100.31910328633556,-0.14810364582921684
46,23500,0.8,0.80_1,-0.4302826355226527,98.35869994403967,-0.1464180963419059
47,24000,0.8,0.80_1,-0.4230375791704667,96.35631144075722,-0.14376230320533298
48,24500,0.8,0.80_1,-0.4100347822951611,95.37111102629194,-0.13941408948115888
49,25000,0.8,0.80_1,-0.3798433236768341,96.90879315968229,-0.13036064559763413
50,500,0.8,0.80_2,-1.2095833293643852,24.978935988871413,-0.21227766092576594
51,1000,0.8,0.80_2,-0.01116351506574188,31.82125160464895,-0.003217394513205314
52,1500,0.8,0.80_2,0.94708127968749,33.977412376110685,0.19005910717656185
53,2000,0.8,0.80_2,0.524781462853607,38.25885486450266,0.10123075085795791
54,2500,0.8,0.80_2,0.41994862420248624,46.10262937581691,0.10993318482130478
55,3000,0.8,0.80_2,0.03159419631437406,48.665092011399594,0.010160234027714142
56,3500,0.8,0.80_2,-0.024953143691985227,46.30858725157367,-0.008307361636091713
57,4000,0.8,0.80_2,0.1951326837859896,40.70082113059776,0.07861303184933775
58,4500,0.8,0.80_2,0.05734158121635764,47.875170260332375,0.025696338370515864
59,5000,0.8,0.80_2,0.046308024042105635,52.2312087120038,0.020817281853176703
60,5500,0.8,0.80_2,0.10380938837903447,53.83603863916663,0.04820752056070916
61,6000,0.8,0.80_2,0.1718117577367541,53.343222356886066,0.09963286684144268
62,6500,0.8,0.80_2,0.05350865327893636,53.93864802489709,0.04430327079660926
63,7000,0.8,0.80_2,-0.24004988153978513,57.00970495793042,-0.19318814041304908
64,7500,0.8,0.80_2,-0.6030099105925644,63.267784901928195,-0.3541044561943127
65,8000,0.8,0.80_2,-0.5363446695320324,64.99579957093827,-0.3048392440439432
66,8500,0.8,0.80_2,-0.7349611418560015,86.83233857509073,-0.2770687565506421
67,9000,0.8,0.80_2,-0.7055153655624274,93.9106868059493,-0.24303354124150373
68,9500,0.8,0.80_2,-0.7115383926922636,115.66209107001701,-0.2003325690779016
69,10000,0.8,0.80_2,-0.7157343146442653,109.90361451133143,-0.200327394675214
70,10500,0.8,0.80_2,-0.6911305666962358,110.7518455679183,-0.18930533394399982
71,11000,0.8,0.80_2,-0.6419765187353129,118.34434317035875,-0.1675616784994803
72,11500,0.8,0.80_2,-0.591846143847552,126.09052019484363,-0.14760009994232515
